GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa05010	24138	155	29	8	1	0.8173678906038945	0.8674108226816839
hsa05133	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa05140	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa05145	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa05152	24138	155	29	4	1	0.5672670982268508	0.6555086468399165
hsa05160	24138	155	29	12	10	6.250904493558583e-07	1.0834901122168209e-05
hsa05161	24138	155	29	8	4	0.04076392165852489	0.13248274539020588
hsa05162	24138	155	29	9	9	8.916475911977422e-08	2.3182837371141297e-06
hsa05164	24138	155	29	10	10	1.221435056435267e-08	6.351462293463388e-07
hsa05165	24138	155	29	10	5	0.020916416563111568	0.10884577322208426
hsa05167	24138	155	29	4	3	0.020931879465785435	0.10884577322208426
hsa05168	24138	155	29	9	8	4.904061751587591e-06	5.1002242216510945e-05
hsa05169	24138	155	29	11	7	0.0007910870535936821	0.005876646683838782
hsa05170	24138	155	29	7	1	0.7728609059611453	0.8550801512761608
hsa05171	24138	155	29	11	9	3.7668635955961368e-06	4.896922674274978e-05
hsa05200	24138	155	29	9	2	0.5291321805365707	0.6555086468399165
hsa05202	24138	155	29	8	1	0.8173678906038945	0.8674108226816839
hsa05203	24138	155	29	13	1	0.9401631169268317	0.977769641603905
hsa05212	24138	155	29	3	1	0.4652406417112296	0.6048128342245984
hsa05235	24138	155	29	4	2	0.1591612721643681	0.3243010752688171
hsa05321	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa01521	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04010	23531	155	8	2	1	0.10087976539589465	0.151319648093842
hsa04012	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04014	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04015	23531	155	8	2	2	0.002346041055718481	0.04692082111436962
hsa04020	23531	155	8	2	1	0.10087976539589465	0.151319648093842
hsa04066	23531	155	8	2	1	0.10087976539589465	0.151319648093842
hsa04068	23531	155	8	4	1	0.19274034664027684	0.22239270766185787
hsa04072	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04145	23531	155	8	5	2	0.021665453213050585	0.13464235624123458
hsa04151	23531	155	8	3	2	0.006854119947099087	0.08224943936518905
hsa04360	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04380	23531	155	8	4	1	0.19274034664027684	0.22239270766185787
hsa04510	23531	155	8	2	2	0.002346041055718481	0.04692082111436962
hsa04512	23531	155	8	2	1	0.10087976539589465	0.151319648093842
hsa04540	23531	155	8	3	2	0.006854119947099087	0.08224943936518905
hsa04550	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04610	23531	155	8	2	1	0.10087976539589465	0.151319648093842
hsa04611	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04613	23531	155	8	13	1	0.5122256088827767	0.5122256088827767
hsa04630	23531	155	8	3	1	0.14789258812029235	0.20167171107312595
hsa04640	23531	155	8	5	1	0.23550906999708274	0.26167674444120304
hsa04726	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
hsa04810	23531	155	8	2	2	0.002346041055718481	0.04692082111436962
hsa04910	23531	155	8	1	1	0.0516129032258066	0.13464235624123458
